school,division,conference,state,gender
Northwest University,NAIA,,Washington,M
Northwest University,NAIA,,Washington,W
Northwestern,D1,Big Ten,Illinois,W
Northwestern College – Iowa,NAIA,,Iowa,M
Northwestern College – Iowa,NAIA,,Iowa,W
Northwestern Oklahoma State University,D2,Great American Conference,Oklahoma,W
Northwestern State,D1,Southland,Louisiana,W
Northwestern University,D1,Big Ten Conference,Illinois,M
Northwood University,D2,Great Midwest Athletic Conference,Michigan,M
Northwood University,D2,Great Midwest Athletic Conference,Michigan,W
Norwich University,D3,,Vermont,M
Norwich University,D3,,Vermont,W
Notre Dame,D1,ACC,Indiana,W
Notre Dame of Maryland University,D3,,Maryland,M
Notre Dame of Maryland University,D3,,Maryland,W
Nova Southeastern University,D2,Sunshine State Conference,Florida,M
Nova Southeastern University,D2,Sunshine State Conference,Florida,W
Oakland,D1,Horizon,Michigan,W
Oakland City University,NAIA,,Indiana,M
Oakland City University,NAIA,,Indiana,W
Oakland University,D1,Horizon League,Michigan,M
Oberlin College,D3,,Ohio,M
Oberlin College,D3,,Ohio,W
Occidental College,D3,,California,M
Occidental College,D3,,California,W
Oglethorpe University,D3,,Georgia,M
Oglethorpe University,D3,,Georgia,W
Ohio,D1,MAC,Ohio,W
Ohio Christian University,NAIA,,Ohio,M
Ohio Christian University,NAIA,,Ohio,W
Ohio Dominican University,D2,Great Midwest Athletic Conference,Ohio,M
Ohio Dominican University,D2,Great Midwest Athletic Conference,Ohio,W
Ohio Northern University,D3,,Ohio,M
Ohio Northern University,D3,,Ohio,W
Ohio State,D1,Big Ten,Ohio,W
Ohio State University,D1,Big Ten Conference,Ohio,M
Ohio Wesleyan University,D3,,Ohio,M
Ohio Wesleyan University,D3,,Ohio,W
Oklahoma,D1,SEC,Oklahoma,W
Oklahoma Baptist University,D2,Great American Conference,Oklahoma,W
Oklahoma Christian University,D2,Lone Star Conference,Oklahoma,M
Oklahoma Christian University,D2,Lone Star Conference,Oklahoma,W
Oklahoma City University,NAIA,,Oklahoma,M
Oklahoma City University,NAIA,,Oklahoma,W
Oklahoma Panhandle State University,NAIA,,Oklahoma,M
Oklahoma Panhandle State University,NAIA,,Oklahoma,W
Oklahoma State,D1,Big 12,Oklahoma,W
Oklahoma Wesleyan University,NAIA,,Oklahoma,M
Oklahoma Wesleyan University,NAIA,,Oklahoma,W
Old Dominion,D1,Sun Belt,Virginia,W
Old Dominion University,D1,Sun Belt Conference,Virginia,M
Ole Miss,D1,SEC,Mississippi,W
Olivet Nazarene University,NAIA,,Illinois,M
Olivet Nazarene University,NAIA,,Illinois,W
Omaha,D1,Summit,Nebraska,W
Oral Roberts,D1,Summit,Oklahoma,W
Oral Roberts University,D1,The Summit League,Oklahoma,M
Oregon,D1,Big Ten,Oregon,W
Oregon Institute of Technology,NAIA,,Oregon,M
Oregon Institute of Technology,NAIA,,Oregon,W
Oregon State,D1,Pac-12,Oregon,W
Oregon State University,D1,Pac-12 Conference,Oregon,M
Ottawa University,NAIA,,Kansas,M
Ottawa University,NAIA,,Kansas,W
Ottawa University – Arizona,NAIA,,Arizona,M
Ottawa University – Arizona,NAIA,,Arizona,W
Otterbein University,D3,,Ohio,M
Otterbein University,D3,,Ohio,W
Ouachita Baptist University,D2,Great American Conference,Arkansas,M
Ouachita Baptist University,D2,Great American Conference,Arkansas,W
Our Lady of the Lake University,NAIA,,Texas,M
Our Lady of the Lake University,NAIA,,Texas,W
Owens Community College,D3,,Ohio,W
Ozark Christian College,D3,,Missouri,M
Pace University,D2,Northeast-10 Conference,New York,M
Pace University,D2,Northeast-10 Conference,New York,W
Pacific,D1,West Coast,California,W
Pacific Lutheran University,D3,,Washington,M
Pacific Lutheran University,D3,,Washington,W
Pacific Union College,NAIA,,California,M
Pacific Union College,NAIA,,California,W
Pacific University,D3,,Oregon,M
Pacific University,D3,,Oregon,W
Palm Beach Atlantic University,D2,Sunshine State Conference,Florida,M
Palm Beach Atlantic University,D2,Sunshine State Conference,Florida,W
Park University,NAIA,,Missouri,M
Park University,NAIA,,Missouri,W
Park University – Gilbert,NAIA,,Arizona,M
Park University – Gilbert,NAIA,,Arizona,W
Paul Quinn College,NAIA,,Texas,M
Paul Quinn College,NAIA,,Texas,W
Penn,D1,Ivy League,Pennsylvania,W
Penn State,D1,Big Ten,Pennsylvania,W
Penn State Abington,D3,,Pennsylvania,M
Penn State Abington,D3,,Pennsylvania,W
Penn State Altoona,D3,,Pennsylvania,M
Penn State Altoona,D3,,Pennsylvania,W
Penn State Berks,D3,,Pennsylvania,M
Penn State Berks,D3,,Pennsylvania,W
Penn State Erie – The Behrend College,D3,,Pennsylvania,M
Penn State Erie – The Behrend College,D3,,Pennsylvania,W
Penn State Harrisburg,D3,,Pennsylvania,M
Penn State Harrisburg,D3,,Pennsylvania,W
Penn State Lehigh Valley,D3,,Pennsylvania,M
Penn State Schuylkill,NAIA,,Pennsylvania,M
Penn State Schuylkill,NAIA,,Pennsylvania,W
Penn State York,D3,,Pennsylvania,M
Pennsylvania College of Technology,D3,,Pennsylvania,M
Pennsylvania College of Technology,D3,,Pennsylvania,W
Pennsylvania State University (Penn State),D1,Big Ten Conference,Pennsylvania,M
Pennsylvania Western University – California (PennWest California),D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Pennsylvania Western University – Clarion (PennWest Clarion),D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Pennsylvania Western University – Edinboro (PennWest Edinboro),D2,Pennsylvania State Athletic Conference,Pennsylvania,W
"Pennsylvania Western University, California (PennWest California)",D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Pepperdine,D1,West Coast,California,W
Pfeiffer University,D3,,North Carolina,M
Pfeiffer University,D3,,North Carolina,W
Piedmont University,D3,,Georgia,M
Piedmont University,D3,,Georgia,W
Pittsburgh,D1,ACC,Pennsylvania,W
Plymouth State University,D3,,New Hampshire,M
Plymouth State University,D3,,New Hampshire,W
Point Loma Nazarene University,D2,Pacific West Conference,California,M
Point Loma Nazarene University,D2,Pacific West Conference,California,W
Point Park University,D2,Mountain East Conference,Pennsylvania,M
Point Park University,D2,Mountain East Conference,Pennsylvania,W
Point University,NAIA,,Georgia,M
Point University,NAIA,,Georgia,W
Pomona-Pitzer Colleges,D3,,California,M
Pomona-Pitzer Colleges,D3,,California,W
Portland,D1,West Coast,Oregon,W
Portland State,D1,Big Sky,Oregon,W
Post University,D2,Central Atlantic Collegiate Conference,Connecticut,M
Post University,D2,Central Atlantic Collegiate Conference,Connecticut,W
Prairie View A&M,D1,SWAC,Texas,W
Pratt Institute,D3,,New York,M
Pratt Institute,D3,,New York,W
Presbyterian,D1,Big South,South Carolina,W
Presbyterian College,D1,Big South Conference,South Carolina,M
Princeton,D1,Ivy League,New Jersey,W
Princeton University,D1,Ivy League,New Jersey,M
Principia College,D3,,Illinois,M
Principia College,D3,,Illinois,W
Providence,D1,Big East,Rhode Island,W
Providence Christian College,NAIA,,California,M
Providence Christian College,NAIA,,California,W
Providence College,D1,Big East Conference,Rhode Island,M
Purdue,D1,Big Ten,Indiana,W
Purdue Fort Wayne,D1,Horizon,Indiana,W
Purdue University Fort Wayne (Purdue Fort Wayne),D1,Horizon League,Indiana,M
Purdue University Northwest,D2,Great Lakes Intercollegiate Athletic Conference,Indiana,M
Purdue University Northwest,D2,Great Lakes Intercollegiate Athletic Conference,Indiana,W
Queens,D1,ASUN,North Carolina,W
Queens College,D2,East Coast Conference,New York,M
Queens College,D2,East Coast Conference,New York,W
Queens University of Charlotte,D1,Atlantic Sun Conference,North Carolina,M
Quincy University,D2,Great Lakes Valley Conference,Illinois,M
Quincy University,D2,Great Lakes Valley Conference,Illinois,W
Quinnipiac,D1,Metro,Connecticut,W
Quinnipiac University,D1,Metro Conference,Connecticut,M
Radford,D1,Big South,Virginia,W
Radford University,D1,Big South Conference,Virginia,M
Ramapo College of New Jersey,D3,,New Jersey,M
Ramapo College of New Jersey,D3,,New Jersey,W
Randolph College,D3,,Virginia,M
Randolph College,D3,,Virginia,W
Randolph-Macon College,D3,,Virginia,M
Randolph-Macon College,D3,,Virginia,W
Regis College,D3,,Massachusetts,M
Regis College,D3,,Massachusetts,W
Regis University,D2,Rocky Mountain Athletic Conference,Colorado,M
Regis University,D2,Rocky Mountain Athletic Conference,Colorado,W
Reinhardt University,NAIA,,Georgia,M
Reinhardt University,NAIA,,Georgia,W
Rensselaer Polytechnic Institute – RPI,D3,,New York,M
Rensselaer Polytechnic Institute – RPI,D3,,New York,W
Rhode Island,D1,Atlantic 10,Rhode Island,W
Rhode Island College,D3,,Rhode Island,M
Rhode Island College,D3,,Rhode Island,W
Rhodes College,D3,,Tennessee,M
Rhodes College,D3,,Tennessee,W
Rice,D1,American,Texas,W
Richmond,D1,Atlantic 10,Virginia,W
Rider,D1,Metro,New Jersey,W
Rider University,D1,Metro Conference,New Jersey,M
Ripon College,D3,,Wisconsin,M
Ripon College,D3,,Wisconsin,W
Rivier University,D3,,New Hampshire,M
Rivier University,D3,,New Hampshire,W
Roanoke College,D3,,Virginia,M
Roanoke College,D3,,Virginia,W
Robert Morris,D1,Horizon,Pennsylvania,W
Robert Morris University,D1,Horizon League,Pennsylvania,M
Roberts Wesleyan University,D2,East Coast Conference,New York,M
Roberts Wesleyan University,D2,East Coast Conference,New York,W
Rochester Institute of Technology,D3,,New York,M
Rochester Institute of Technology,D3,,New York,W
Rochester University,NAIA,,Michigan,M
Rochester University,NAIA,,Michigan,W
Rockford University,D3,,Illinois,M
Rockford University,D3,,Illinois,W
Rockhurst University,D2,Great Lakes Valley Conference,Missouri,M
Rockhurst University,D2,Great Lakes Valley Conference,Missouri,W
Rocky Mountain College,NAIA,,Montana,M
Rocky Mountain College,NAIA,,Montana,W
Roger Williams University,D3,,Rhode Island,M
Roger Williams University,D3,,Rhode Island,W
Rogers State University,D2,Great American Conference,Oklahoma,M
Rogers State University,D2,Mid-America Intercollegiate Athletics Association,Oklahoma,W
Rollins College,D2,Sunshine State Conference,Florida,M
Rollins College,D2,Sunshine State Conference,Florida,W
Roosevelt University,D2,Great Lakes Intercollegiate Athletic Conference,Illinois,M
Roosevelt University,D2,Great Lakes Intercollegiate Athletic Conference,Illinois,W
Rose-Hulman Institute of Technology,D3,,Indiana,M
Rose-Hulman Institute of Technology,D3,,Indiana,W
Rosemont College,D3,,Pennsylvania,M
Rosemont College,D3,,Pennsylvania,W
Rowan University,D3,,New Jersey,M
Rowan University,D3,,New Jersey,W
Russell Sage College,D3,,New York,M
Russell Sage College,D3,,New York,W
Rutgers,D1,Big Ten,New Jersey,W
Rutgers University – Camden,D3,,New Jersey,M
Rutgers University – Camden,D3,,New Jersey,W
Rutgers University – Newark,D3,,New Jersey,M
Rutgers University – Newark,D3,,New Jersey,W
Rutgers University–New Brunswick (Rutgers),D1,Big Ten Conference,New Jersey,M
SIU Edwardsville,D1,Ohio Valley,Illinois,W
SMU,D1,ACC,Texas,W
SUNY Buffalo State University,D3,,New York,M
SUNY Buffalo State University,D3,,New York,W
SUNY Canton,D3,,New York,M
SUNY Canton,D3,,New York,W
SUNY College at Brockport,D3,,New York,M
SUNY College at Brockport,D3,,New York,W
SUNY College at Old Westbury,D3,,New York,M
SUNY College at Old Westbury,D3,,New York,W
SUNY College at Oneonta,D3,,New York,M
SUNY College at Oneonta,D3,,New York,W
SUNY College of Agriculture & Technology at Cobleskill,D3,,New York,M
SUNY College of Agriculture & Technology at Cobleskill,D3,,New York,W
SUNY Cortland,D3,,New York,M
SUNY Cortland,D3,,New York,W
SUNY Delhi,D3,,New York,M
SUNY Delhi,D3,,New York,W
SUNY Farmingdale State College,D3,,New York,M
SUNY Farmingdale State College,D3,,New York,W
SUNY Fredonia,D3,,New York,M
SUNY Fredonia,D3,,New York,W
SUNY Geneseo,D3,,New York,M
SUNY Geneseo,D3,,New York,W
SUNY Maritime College,D3,,New York,M
SUNY Maritime College,D3,,New York,W
SUNY Morrisville,D3,,New York,M
SUNY Morrisville,D3,,New York,W
SUNY New Paltz,D3,,New York,M
SUNY New Paltz,D3,,New York,W
SUNY Oswego,D3,,New York,M
SUNY Oswego,D3,,New York,W
SUNY Plattsburgh,D3,,New York,M
SUNY Plattsburgh,D3,,New York,W
SUNY Polytechnic Institute,D3,,New York,M
SUNY Polytechnic Institute,D3,,New York,W
SUNY Potsdam,D3,,New York,M
SUNY Potsdam,D3,,New York,W
SUNY Purchase College,D3,,New York,M
SUNY Purchase College,D3,,New York,W
Sacramento State,D1,Big West,California,W
Sacred Heart,D1,Metro,Connecticut,W
Sacred Heart University,D1,Metro Conference,Connecticut,M
Saginaw Valley State University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,M
Saginaw Valley State University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,W
Saint Anselm College,D2,Northeast-10 Conference,New Hampshire,M
Saint Anselm College,D2,Northeast-10 Conference,New Hampshire,W
Saint Elizabeth University,D3,,New Jersey,M
Saint Elizabeth University,D3,,New Jersey,W
Saint John's University – Minnesota,D3,,Minnesota,M
Saint Joseph's,D1,Atlantic 10,Pennsylvania,W
Saint Joseph's College of Maine,D3,,Maine,M
Saint Joseph's College of Maine,D3,,Maine,W
Saint Joseph's University,D1,Atlantic 10 Conference,Pennsylvania,M
Saint Leo University,D2,Sunshine State Conference,Florida,M
Saint Leo University,D2,Sunshine State Conference,Florida,W
Saint Louis,D1,Atlantic 10,Missouri,W
Saint Louis University,D1,Atlantic 10 Conference,Missouri,M
Saint Martin's University,D2,Great Northwest Athletic Conference,Washington,M
Saint Martin's University,D2,Great Northwest Athletic Conference,Washington,W
Saint Mary's,D1,West Coast,California,W
Saint Mary's College of California,D1,West Coast Conference,California,M
Saint Mary's College – Indiana,D3,,Indiana,W
Saint Mary's University of Minnesota,D3,,Minnesota,M
Saint Mary's University of Minnesota,D3,,Minnesota,W
Saint Michael's College,D2,Northeast-10 Conference,Vermont,M
Saint Michael's College,D2,Northeast-10 Conference,Vermont,W
Saint Peter's,D1,Metro,New Jersey,W
Saint Peter's University,D1,Metro Conference,New Jersey,M
Saint Vincent College – Pennsylvania,D3,,Pennsylvania,M
Saint Vincent College – Pennsylvania,D3,,Pennsylvania,W
Saint Xavier University,NAIA,,Illinois,M
Saint Xavier University,NAIA,,Illinois,W
Salem College,D3,,North Carolina,W
Salem State University,D3,,Massachusetts,M
Salem State University,D3,,Massachusetts,W
Salem University,D2,Mountain East Conference,West Virginia,M
Salem University,D2,Independent,West Virginia,W
Salisbury University,D3,,Maryland,M
Salisbury University,D3,,Maryland,W
Salve Regina University,D3,,Rhode Island,M
Salve Regina University,D3,,Rhode Island,W
Sam Houston,D1,CUSA,Texas,W
Samford,D1,Southern,Alabama,W
San Diego,D1,West Coast,California,W
San Diego Christian College,NAIA,,California,M
San Diego Christian College,NAIA,,California,W
San Diego State,D1,Pac-12,California,W
San Diego State University,D1,Pac-12 Conference,California,M
San Francisco,D1,West Coast,California,W
San Francisco State University,D2,California Collegiate Athletic Association,California,W
San Jose State,D1,Mountain West,California,W
San Jose State University,D1,Mountain West Conference,California,M
Santa Clara,D1,West Coast,California,W
Santa Clara University,D1,West Coast Conference,California,M
Sarah Lawrence College,D3,,New York,M
Sarah Lawrence College,D3,,New York,W
Savannah College of Art & Design,NAIA,,Georgia,M
Savannah College of Art & Design,NAIA,,Georgia,W
Schreiner University,D3,,Texas,M
Schreiner University,D3,,Texas,W
Seattle,D1,West Coast,Washington,W
Seattle Pacific University,D2,Great Northwest Athletic Conference,Washington,M
Seattle Pacific University,D2,Great Northwest Athletic Conference,Washington,W
Seattle University,D1,West Coast Conference,Washington,M
Seton Hall,D1,Big East,New Jersey,W
Seton Hall University,D1,Big East Conference,New Jersey,M
Seton Hill University,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Seton Hill University,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Sewanee – The University of the South,D3,,Tennessee,M
Sewanee – The University of the South,D3,,Tennessee,W
Shaw University,D2,Independent,North Carolina,M
Shaw University,D2,Independent,North Carolina,W
Shawnee State University,D2,Mountain East Conference,Ohio,M
Shawnee State University,NAIA,,Ohio,M
Shawnee State University,D2,Mountain East Conference,Ohio,W
Shawnee State University,NAIA,,Ohio,W
Shenandoah University,D3,,Virginia,M
Shenandoah University,D3,,Virginia,W
Shepherd University,D2,Pennsylvania State Athletic Conference,West Virginia,M
Shepherd University,D2,Pennsylvania State Athletic Conference,West Virginia,W
Shippensburg University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Shippensburg University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Shorter University,D2,Conference Carolinas,Georgia,M
Shorter University,D2,Conference Carolinas,Georgia,W
Siena,D1,Metro,New York,W
Siena Heights University,NAIA,,Michigan,M
Siena Heights University,NAIA,,Michigan,W
Siena University,D1,Metro Conference,New York,M
Simmons University,D3,,Massachusetts,W
Simon Fraser University,D2,Great Northwest Athletic Conference,British Columbia,M
Simon Fraser University,D2,Great Northwest Athletic Conference,British Columbia,W
Simpson College,D3,,Iowa,M
Simpson College,D3,,Iowa,W
Simpson University,NAIA,,California,M
Simpson University,NAIA,,California,W
Skidmore College,D3,,New York,M
Skidmore College,D3,,New York,W
Slippery Rock University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Slippery Rock University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Smith College,D3,,Massachusetts,W
Soka University,NAIA,,California,M
Soka University,NAIA,,California,W
South Alabama,D1,Sun Belt,Alabama,W
South Carolina,D1,SEC,South Carolina,W
South Carolina State,D1,Independent,South Carolina,W
South Dakota,D1,Summit,South Dakota,W
South Dakota School of Mines and Technology,D2,Rocky Mountain Athletic Conference,South Dakota,M
South Dakota State,D1,Summit,South Dakota,W
South Florida,D1,American,Florida,W
Southeast Missouri State,D1,Ohio Valley,Missouri,W
Southeastern Louisiana,D1,Southland,Louisiana,W
Southeastern University,NAIA,,Florida,M
Southeastern University,NAIA,,Florida,W
Southern,D1,SWAC,Louisiana,W
Southern Connecticut State University,D2,Northeast-10 Conference,Connecticut,M
Southern Connecticut State University,D2,Northeast-10 Conference,Connecticut,W
Southern Illinois,D1,Missouri Valley,Illinois,W
Southern Illinois University Edwardsville (SIU Edwardsville/SIUE),D1,Ohio Valley Conference,Illinois,M
Southern Indiana,D1,Ohio Valley,Indiana,W
Southern Methodist University (SMU),D1,Atlantic Coast Conference,Texas,M
Southern Miss,D1,Sun Belt,Mississippi,W
Southern Nazarene University,D2,Great American Conference,Oklahoma,M
Southern Nazarene University,D2,Great American Conference,Oklahoma,W
Southern New Hampshire University,D2,Northeast-10 Conference,New Hampshire,M
Southern New Hampshire University,D2,Northeast-10 Conference,New Hampshire,W
Southern Oregon University,NAIA,,Oregon,M
Southern Oregon University,NAIA,,Oregon,W
Southern Utah,D1,Big Sky,Utah,W
Southern Virginia University,D3,,Virginia,M
Southern Virginia University,D3,,Virginia,W
Southern Wesleyan University,D2,Conference Carolinas,South Carolina,M
Southern Wesleyan University,D2,Conference Carolinas,South Carolina,W
Southwest Baptist University,D2,Great Lakes Valley Conference,Missouri,M
Southwest Baptist University,D2,Great Lakes Valley Conference,Missouri,W
Southwest Minnesota State University,D2,Northern Sun Intercollegiate Conference,Minnesota,W
Southwestern Christian University,NAIA,,Oklahoma,M
Southwestern Christian University,NAIA,,Oklahoma,W
Southwestern College – Kansas,NAIA,,Kansas,M
Southwestern College – Kansas,NAIA,,Kansas,W
Southwestern Oklahoma State University,D2,Great American Conference,Oklahoma,W
Southwestern University,D3,,Texas,M
Southwestern University,D3,,Texas,W
Spalding University,D3,,Kentucky,M
Spalding University,D3,,Kentucky,W
Spartanburg Methodist College,NAIA,,South Carolina,M
Spartanburg Methodist College,NAIA,,South Carolina,W
Spring Arbor University,NAIA,,Michigan,M
Spring Arbor University,NAIA,,Michigan,W
Spring Hill College,D2,Gulf South Conference,Alabama,M
Spring Hill College,D2,Gulf South Conference,Alabama,W
Springfield College,D3,,Massachusetts,M
Springfield College,D3,,Massachusetts,W
St. Ambrose University,NAIA,,Iowa,M
St. Ambrose University,NAIA,,Iowa,W
St. Andrews University,NAIA,,North Carolina,M
St. Andrews University,NAIA,,North Carolina,W
St. Bonaventure,D1,Atlantic 10,New York,W
St. Bonaventure University,D1,Atlantic 10 Conference,New York,M
St. Catherine University,D3,,Minnesota,W
St. Cloud State University,D2,Great Lakes Intercollegiate Athletic Conference,Minnesota,M
St. Cloud State University,D2,Northern Sun Intercollegiate Conference,Minnesota,W
St. Edward's University,D2,Lone Star Conference,Texas,W
St. John Fisher College,D3,,New York,M
St. John Fisher College,D3,,New York,W
St. John's,D1,Big East,New York,W
St. John's University,D1,Big East Conference,New York,M
St. Joseph's University – New York,D3,,New York,M
St. Joseph's University – New York,D3,,New York,W
St. Lawrence University,D3,,New York,M
St. Lawrence University,D3,,New York,W
St. Mary's College of Maryland,D3,,Maryland,M
St. Mary's College of Maryland,D3,,Maryland,W
St. Mary's University,D2,Lone Star Conference,Texas,M
St. Mary's University,D2,Lone Star Conference,Texas,W
St. Norbert College,D3,,Wisconsin,M
St. Norbert College,D3,,Wisconsin,W
St. Olaf College,D3,,Minnesota,M
St. Olaf College,D3,,Minnesota,W
St. Thomas,D1,Summit,Minnesota,W
St. Thomas Aquinas College,D2,East Coast Conference,New York,M
St. Thomas Aquinas College,D2,East Coast Conference,New York,W
St. Thomas University – Florida,NAIA,,Florida,M
St. Thomas University – Florida,NAIA,,Florida,W
Stanford,D1,ACC,California,W
Stanford University,D1,Atlantic Coast Conference,California,M
Stephen F. Austin,D1,Southland,Texas,W
Stephens College,NAIA,,Missouri,W
Sterling College – Kansas,NAIA,,Kansas,M
Sterling College – Kansas,NAIA,,Kansas,W
Stetson,D1,ASUN,Florida,W
Stetson University,D1,Atlantic Sun Conference,Florida,M
Stevens Institute of Technology,D3,,New Jersey,M
Stevens Institute of Technology,D3,,New Jersey,W
Stevenson University,D3,,Maryland,M
Stevenson University,D3,,Maryland,W
Stockton University,D3,,New Jersey,M
Stockton University,D3,,New Jersey,W
Stonehill,D1,NEC,Massachusetts,W
Stonehill College,D1,NEC,Massachusetts,M
Stony Brook,D1,CAA,New York,W
Stony Brook University,D1,Coastal Athletic Association,New York,M
Suffolk University,D3,,Massachusetts,M
Suffolk University,D3,,Massachusetts,W
Sul Ross State University,D2,Lone Star Conference,Texas,M
Sul Ross State University,D3,,Texas,M
Sul Ross State University,D2,Lone Star Conference,Texas,W
Sul Ross State University,D3,,Texas,W
Susquehanna University,D3,,Pennsylvania,M
Susquehanna University,D3,,Pennsylvania,W
Swarthmore College,D3,,Pennsylvania,M
Swarthmore College,D3,,Pennsylvania,W
Sweet Briar College,D3,,Virginia,W
Syracuse,D1,ACC,New York,W
Syracuse University,D1,Atlantic Coast Conference,New York,M
TCU,D1,Big 12,Texas,W
Tabor College,NAIA,,Kansas,M
Tabor College,NAIA,,Kansas,W
Talladega College,NAIA,,Alabama,M
Talladega College,NAIA,,Alabama,W
Tarleton State,D1,UAC,Texas,W
Taylor University,NAIA,,Indiana,M
Taylor University,NAIA,,Indiana,W
Temple,D1,American,Pennsylvania,W
Temple University,D1,American Conference,Pennsylvania,M
Tennessee,D1,SEC,Tennessee,W
Tennessee Tech,D1,Southern,Tennessee,W
Tennessee Wesleyan University,NAIA,,Tennessee,M
Tennessee Wesleyan University,NAIA,,Tennessee,W
Texas,D1,SEC,Texas,W
Texas A&M,D1,SEC,Texas,W
Texas A&M International University,D2,Lone Star Conference,Texas,M
Texas A&M International University,D2,Lone Star Conference,Texas,W
Texas A&M University – Texarkana,NAIA,,Texas,M
Texas A&M University – Texarkana,NAIA,,Texas,W
Texas A&M–Corpus Christi,D1,Southland,Texas,W
Texas College,NAIA,,Texas,M
Texas College,NAIA,,Texas,W
Texas Lutheran University,D3,,Texas,M
Texas Lutheran University,D3,,Texas,W
Texas Southern,D1,SWAC,Texas,W
Texas State,D1,Pac-12,Texas,W
Texas Tech,D1,Big 12,Texas,W
Texas Wesleyan University,NAIA,,Texas,M
Texas Wesleyan University,NAIA,,Texas,W
Texas Woman's University,D2,Lone Star Conference,Texas,W
The Citadel,D1,Southern,South Carolina,W
The College of Idaho,NAIA,,Idaho,M
The College of Idaho,NAIA,,Idaho,W
The College of New Jersey,D3,,New Jersey,M
The College of New Jersey,D3,,New Jersey,W
The College of St. Scholastica,D3,,Minnesota,M
The College of St. Scholastica,D3,,Minnesota,W
The King's College – New York,D3,,New York,M
The King's College – New York,D3,,New York,W
The Master's University,NAIA,,California,M
The Master's University,NAIA,,California,W
Thiel College,D3,,Pennsylvania,M
Thiel College,D3,,Pennsylvania,W
Thomas College,D3,,Maine,M
Thomas College,D3,,Maine,W
Thomas Jefferson University (Jefferson),D2,Central Atlantic Collegiate Conference,Pennsylvania,M
Thomas Jefferson University (Jefferson),D2,Central Atlantic Collegiate Conference,Pennsylvania,W
Thomas More University,D2,Great Midwest Athletic Conference,Kentucky,M
Thomas More University,D2,Great Midwest Athletic Conference,Kentucky,W
Thomas University,NAIA,,Georgia,M
Thomas University,NAIA,,Georgia,W
Tiffin University,D2,Great Midwest Athletic Conference,Ohio,M
Tiffin University,D2,Great Midwest Athletic Conference,Ohio,W
Toccoa Falls College,D3,,Georgia,M
Toledo,D1,MAC,Ohio,W
Tougaloo College,NAIA,,Mississippi,M
Tougaloo College,NAIA,,Mississippi,W
Towson,D1,CAA,Maryland,W
Transylvania University,D3,,Kentucky,M
Transylvania University,D3,,Kentucky,W
Trevecca Nazarene University,D2,Gulf South Conference,Tennessee,M
Trevecca Nazarene University,D2,Gulf South Conference,Tennessee,W
Trine University,D3,,Indiana,M
Trine University,D3,,Indiana,W
Trinity Christian College,NAIA,,Illinois,M
Trinity Christian College,NAIA,,Illinois,W
Trinity College – Connecticut,D3,,Connecticut,M
Trinity College – Connecticut,D3,,Connecticut,W
Trinity University – Texas,D3,,Texas,M
Trinity University – Texas,D3,,Texas,W
Trinity Washington University,D3,,District of Columbia,W
Troy,D1,Sun Belt,Alabama,W
Truett-McConnell University,NAIA,,Georgia,M
Truett-McConnell University,NAIA,,Georgia,W
Truman State University,D2,Great Lakes Valley Conference,Missouri,M
Truman State University (Truman),D2,Great Lakes Valley Conference,Missouri,W
Tufts University,D3,,Massachusetts,M
Tufts University,D3,,Massachusetts,W
Tulsa,D1,American,Oklahoma,W
Tusculum College,D2,South Atlantic Conference,Tennessee,M
Tusculum University,D2,South Atlantic Conference,Tennessee,W
UAB,D1,American,Alabama,W
UC Davis,D1,Mountain West,California,W
UC Irvine,D1,Big West,California,W
UC Riverside,D1,Big West,California,W
UC San Diego,D1,Big West,California,W
UC Santa Barbara,D1,Big West,California,W
UCF,D1,Big 12,Florida,W
UCLA,D1,Big Ten,California,W
UConn,D1,Big East,Connecticut,W
UIC,D1,Missouri Valley,Illinois,W
UMBC,D1,America East,Maryland,W
UMass,D1,MAC,Massachusetts,W
UMass Lowell,D1,America East,Massachusetts,W
UNC Asheville,D1,Big South,North Carolina,W
UNC Greensboro,D1,Southern,North Carolina,W
UNC Wilmington,D1,CAA,North Carolina,W
UNLV,D1,Mountain West,Nevada,W
USC,D1,Big Ten,California,W
USC Upstate,D1,Big South,South Carolina,W
UT Martin,D1,Ohio Valley,Tennessee,W
UT Rio Grande Valley,D1,Southland,Texas,W
UTEP,D1,Mountain West,Texas,W
UTSA,D1,American,Texas,W
Union College – New York,D3,,New York,M
Union College – New York,D3,,New York,W
Union Commonwealth University,NAIA,,Kentucky,M
Union Commonwealth University,NAIA,,Kentucky,W
Union University,D2,Gulf South Conference,Tennessee,M
Union University,D2,Gulf South Conference,Tennessee,W
United States Air Force Academy (Air Force),D1,Mountain West Conference,Colorado,M
